nume_actiune,timestamp
addSala,2026-06-04T18:44:03.601151696
addSala,2026-06-04T18:44:03.602533869
getAllSali,2026-06-04T18:44:03.602679823
addMedicament,2026-06-04T18:44:03.606203834
getAllMedicamente,2026-06-04T18:44:03.606358584
addMedic,2026-06-04T18:44:03.610287125
addMedic,2026-06-04T18:44:03.610739623
getAllMedici,2026-06-04T18:44:03.610896698
addMedicSpecialist,2026-06-04T18:44:03.619556324
getAllMediciSpecialisti,2026-06-04T18:44:03.619757761
addManager,2026-06-04T18:44:03.621408098
addAsistenta,2026-06-04T18:44:03.621544534
getAllManageri,2026-06-04T18:44:03.621621248
getAllAsistente,2026-06-04T18:44:03.62311005
addPacient,2026-06-04T18:44:03.625173772
getAllPacienti,2026-06-04T18:44:03.625507077
addPersoana,2026-06-04T18:44:03.627642183
addPersoana,2026-06-04T18:44:03.627783618
addPersoana,2026-06-04T18:44:03.627851195
addPersoana,2026-06-04T18:44:03.62791805
addPersoana,2026-06-04T18:44:03.628001026
addPersoana,2026-06-04T18:44:03.628069865
getAllPersoane,2026-06-04T18:44:03.628155656
findMedicById,2026-06-04T18:44:03.628486878
findMediciByDepartament,2026-06-04T18:44:03.628604078
getSortedMedici,2026-06-04T18:44:03.628730855
addSpecToMedic,2026-06-04T18:44:03.629440467
findMedicSpecialistById,2026-06-04T18:44:03.629523402
findMedicSpecialistById,2026-06-04T18:44:03.629599986
findPacientByName,2026-06-04T18:44:03.629721213
findPacientiByDiagnostic,2026-06-04T18:44:03.62984235
getUrgentPacienti,2026-06-04T18:44:03.629962376
deleteMedicament,2026-06-04T18:44:03.630068875
findMedicamentByName,2026-06-04T18:44:03.63014611
getAllMedicamente,2026-06-04T18:44:03.630335696
addMedicament,2026-06-04T18:44:03.630542043
findMedicById,2026-06-04T18:44:03.630674993
salveaza_medic_db,2026-06-04T18:44:03.729946839
salveaza_medic_db,2026-06-04T18:44:03.730438101
salveaza_medic_db,2026-06-04T18:44:03.730829926
listeaza_medici_db,2026-06-04T18:44:03.735092483
cauta_medic_db,2026-06-04T18:44:03.736170595
actualizeaza_medic_db,2026-06-04T18:44:03.73689272
cauta_medic_db,2026-06-04T18:44:03.737224222
sterge_medic_db,2026-06-04T18:44:03.738021267
listeaza_medici_db,2026-06-04T18:44:03.738387574
salveaza_sala_db,2026-06-04T18:44:03.739282924
salveaza_sala_db,2026-06-04T18:44:03.739644232
actualizeaza_sala_db,2026-06-04T18:44:03.740034173
listeaza_sali_db,2026-06-04T18:44:03.74028279
salveaza_medicament_db,2026-06-04T18:44:03.740904857
salveaza_medicament_db,2026-06-04T18:44:03.741329514
salveaza_medicament_db,2026-06-04T18:44:03.741713885
sterge_medicament_db,2026-06-04T18:44:03.742546336
listeaza_medicamente_db,2026-06-04T18:44:03.742853282
interneaza_pacient_db,2026-06-04T18:44:03.744708883
interneaza_pacient_db,2026-06-04T18:44:03.745418535
listeaza_pacienti_db,2026-06-04T18:44:03.747238238
prescrie_medicament_db,2026-06-04T18:44:03.748376985
prescrie_medicament_db,2026-06-04T18:44:03.749039678
prescrie_medicament_db,2026-06-04T18:44:03.749661144
prescrie_medicament_rollback,2026-06-04T18:44:03.750161883
listeaza_medicamente_db,2026-06-04T18:44:03.750785874
raport_pacienti_urgenti,2026-06-04T18:44:03.75391806
raport_pacienti_per_medic,2026-06-04T18:44:03.75666345
raport_top_medicamente,2026-06-04T18:44:03.759351263
raport_prescriptii_pacient,2026-06-04T18:44:03.761149707
addSala,2026-06-04T18:44:22.276067852
